"customer_id","first_name","last_name","purchase_date","bulan","tanggal","purchase_count","total_spent"
"9250","Christina","Carroll","2023-02-06 00:00:00+00","2","6","11","120815"
"9034","Anna","Jimenez","2023-02-09 00:00:00+00","2","9","11","63910"
"9818","Samantha","Hurst","2023-02-15 00:00:00+00","2","15","16","20665"
"9455","Jared","Robles","2023-02-08 00:00:00+00","2","8","24","53695"
"9228","Megan","Gonzalez","2023-02-07 00:00:00+00","2","7","24","84090"
"9865","Jesse","Thomas","2023-02-01 00:00:00+00","2","1","12","25720"
"9367","Jeffrey","Romero","2023-02-01 00:00:00+00","2","1","19","96905"
"9609","Raymond","Chase","2023-02-16 00:00:00+00","2","16","8","18705"
"9704","Julie","Chavez","2023-02-19 00:00:00+00","2","19","13","96355"
"9233","Joshua","Wilson","2023-02-08 00:00:00+00","2","8","5","47075"
"9441","James","Becker","2023-02-15 00:00:00+00","2","15","9","15120"
"9139","Gregory","Allen","2023-02-10 00:00:00+00","2","10","10","81145"
"9462","Stacey","Smith","2023-02-13 00:00:00+00","2","13","7","12605"
"9185","David","Flores","2023-02-15 00:00:00+00","2","15","9","18545"
"9860","Jennifer","Jordan","2023-02-15 00:00:00+00","2","15","13","76450"
"9453","Michael","Peterson","2023-02-18 00:00:00+00","2","18","14","131980"
"9346","Sarah","Kim","2023-02-19 00:00:00+00","2","19","10","19135"
"9807","Scott","Fuller","2023-02-05 00:00:00+00","2","5","8","107080"
"9014","Pamela","Spears","2023-02-05 00:00:00+00","2","5","19","31125"
"9983","Jeffrey","Carroll","2023-02-11 00:00:00+00","2","11","7","11720"
"9875","Henry","Mack","2023-02-09 00:00:00+00","2","9","24","162170"
"9239","Robert","Liu","2023-02-05 00:00:00+00","2","5","6","11875"
"9523","Mark","Williams","2023-02-11 00:00:00+00","2","11","7","18020"
"9596","Courtney","Byrd","2023-02-07 00:00:00+00","2","7","9","18455"
"9271","Craig","Moore","2023-02-18 00:00:00+00","2","18","19","113580"
"9660","Mary","Turner","2023-02-16 00:00:00+00","2","16","8","102675"
"9323","Brandon","Taylor","2023-02-18 00:00:00+00","2","18","8","12620"
"9024","Elizabeth","Drake","2023-02-16 00:00:00+00","2","16","5","3675"
"9654","Jennifer","Martin","2023-02-14 00:00:00+00","2","14","10","87245"
"9855","Nicholas","Allen","2023-02-15 00:00:00+00","2","15","6","6540"
"9647","Benjamin","Smith","2023-02-14 00:00:00+00","2","14","11","7560"
"9719","Jeffrey","Fields","2023-02-01 00:00:00+00","2","1","3","4195"
"9015","Luis","Long","2023-02-08 00:00:00+00","2","8","30","190775"
"9754","Ruth","Schneider","2023-02-10 00:00:00+00","2","10","7","156265"
"9520","Barbara","Romero","2023-02-03 00:00:00+00","2","3","28","173160"
"9965","Dennis","Shannon","2023-02-18 00:00:00+00","2","18","14","103985"
"9165","Christopher","Wade","2023-02-02 00:00:00+00","2","2","5","14655"
"9450","Katrina","Hernandez","2023-02-06 00:00:00+00","2","6","5","6235"
"9852","Rachel","Shaw","2023-02-05 00:00:00+00","2","5","8","14400"
"9351","Christopher","Wolf","2023-02-10 00:00:00+00","2","10","8","19525"
"9270","Robin","Jefferson","2023-02-17 00:00:00+00","2","17","5","10800"
"9297","Kenneth","Allen","2023-02-09 00:00:00+00","2","9","24","135695"
"9823","Reginald","Brewer","2023-02-18 00:00:00+00","2","18","18","77895"
"9708","Virginia","Foster","2023-02-15 00:00:00+00","2","15","10","109160"
"9991","Devon","Combs","2023-02-09 00:00:00+00","2","9","6","9675"
"9970","Lindsay","Myers","2023-02-14 00:00:00+00","2","14","10","130890"
"9709","Andrew","Woodward","2023-02-10 00:00:00+00","2","10","8","16745"
"9145","John","Ponce","2023-02-19 00:00:00+00","2","19","4","2925"
"9384","Emma","Sims","2023-02-08 00:00:00+00","2","8","12","26785"
"9209","Christopher","Cox","2023-02-06 00:00:00+00","2","6","5","9580"
"9410","Angel","May","2023-02-09 00:00:00+00","2","9","11","61110"
"9237","Todd","Gutierrez","2023-02-12 00:00:00+00","2","12","12","121550"
"9729","Stephen","Smith","2023-02-11 00:00:00+00","2","11","10","98115"
